% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.002742109e+03 +8.002742109e+03 +8.006452109e+03 +8.006452109e+03 +2.7000e+01 +2.4000e+01 +2.1000e+01 +1.5000e+01 +1.9000e+01 +1.6000e+01 +6.0000e+00 +2.5000e+01 +3.0000e+01 +2.0000e+00 +2.6000e+01 +1.6000e+01 +1.6000e+01 +4.0000e+00 +2.3000e+01 +2.8000e+01 +1.0000e+01 +2.0000e+01 +3.0000e+00 +2.1000e+01
2 +5.868465309e+03 +5.868465309e+03 +5.872175309e+03 +5.872175309e+03 +5.0000e+00 +1.0000e+00 +2.5000e+01 +4.0000e+00 +1.8000e+01 +9.0000e+00 +2.2000e+01 +7.0000e+00 +2.9000e+01 +0.0000e+00 +1.5000e+01 +2.0000e+01 +1.4000e+01 +2.7000e+01 +0.0000e+00 +2.7000e+01 +1.6000e+01 +1.8000e+01 +1.0000e+00 +1.1000e+01
43 +2.943974109e+03 +2.943974109e+03 +2.947684109e+03 +2.947684109e+03 +1.8000e+01 +1.0000e+00 +5.0000e+00 +1.9000e+01 +1.2000e+01 +6.0000e+00 +0.0000e+00 +1.1000e+01 +9.0000e+00 +1.0000e+01 +0.0000e+00 +9.0000e+00 +0.0000e+00 +1.1000e+01 +2.1000e+01 +1.0000e+01 +2.0000e+00 +2.4000e+01 +9.0000e+00 +8.0000e+00
656 +1.505270109e+03 +1.505270109e+03 +1.508980109e+03 +1.508980109e+03 +7.0000e+00 +3.0000e+00 +1.5000e+01 +0.0000e+00 +1.0000e+00 +5.0000e+00 +1.2000e+01 +8.0000e+00 +1.2000e+01 +0.0000e+00 +1.6000e+01 +9.0000e+00 +4.0000e+00 +1.0000e+00 +0.0000e+00 +2.0000e+00 +1.0000e+00 +9.0000e+00 +0.0000e+00 +1.6000e+01
% function evaluation | noise-free fitness - Fopt (9.478000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.940706233e+03 +4.940706233e+03 +5.035486233e+03 +5.035486233e+03 +1.0000e+01 +0.0000e+00 +0.0000e+00 +2.0000e+01 +2.0000e+01 +2.9000e+01 +1.3000e+01 +1.5000e+01 +9.0000e+00 +7.0000e+00 +1.7000e+01 +2.9000e+01 +1.1000e+01 +1.1000e+01 +1.1000e+01 +1.0000e+01 +2.0000e+01 +9.0000e+00 +2.6000e+01 +6.0000e+00
21 +3.678755833e+03 +3.678755833e+03 +3.773535833e+03 +3.773535833e+03 +0.0000e+00 +0.0000e+00 +1.3000e+01 +8.0000e+00 +1.1000e+01 +8.0000e+00 +9.0000e+00 +2.3000e+01 +2.2000e+01 +2.8000e+01 +4.0000e+00 +8.0000e+00 +1.4000e+01 +1.3000e+01 +1.0000e+00 +1.2000e+01 +6.0000e+00 +2.5000e+01 +0.0000e+00 +2.1000e+01
% function evaluation | noise-free fitness - Fopt (2.339200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.673356620e+03 +5.673356620e+03 +5.907276620e+03 +5.907276620e+03 +1.7000e+01 +1.7000e+01 +0.0000e+00 +1.1000e+01 +0.0000e+00 +2.8000e+01 +2.4000e+01 +6.0000e+00 +2.5000e+01 +2.7000e+01 +9.0000e+00 +3.0000e+01 +2.4000e+01 +1.1000e+01 +8.0000e+00 +3.0000e+00 +1.8000e+01 +1.0000e+00 +1.0000e+01 +9.0000e+00
33 +3.905809420e+03 +3.905809420e+03 +4.139729420e+03 +4.139729420e+03 +2.0000e+00 +1.9000e+01 +1.9000e+01 +0.0000e+00 +1.2000e+01 +7.0000e+00 +4.0000e+00 +1.9000e+01 +2.5000e+01 +2.5000e+01 +2.9000e+01 +3.0000e+00 +9.0000e+00 +3.0000e+00 +1.4000e+01 +0.0000e+00 +8.0000e+00 +3.0000e+00 +0.0000e+00 +0.0000e+00
